IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,769,,,,,,769,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,77,,,,,,77,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,CUB,Cuba,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,782,,,,,,782,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,79,,,,,,79,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,HUN,Hungary,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,792,,,,,,792,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AFR,Africa,Country,BWA,Botswana,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,8,,,,,,8,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8,,,,,,8,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,ISL,Iceland,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,8,,,,,,8,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,SUR,Suriname,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,8,,,,,,8,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,USA,United States of America,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,8050,,,,,,8 050,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,80,,,,,,80,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,80,,,,,,80,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,PRT,Portugal,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,804,,,,,,804,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,EST,Estonia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82,,,,,,82,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AFR,Africa,Country,SEN,Senegal,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,82,,,,,,82,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,82,,,,,,82,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AFR,Africa,Country,MWI,Malawi,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,83,,,,,,83,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,84,,,,,,84,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,844,,,,,,844,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,PRY,Paraguay,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,85,,,,,,85,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,SRB,Serbia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,863,,,,,,863,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,87,,,,,,87,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,MEX,Mexico,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,870,,,,,,870,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,875,,,,,,875,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,88,,,,,,88,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,885,,,,,,885,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,89,,,,,,89,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,HRV,Croatia,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,89,,,,,,89,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,HND,Honduras,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,89,,,,,,89,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,ARG,Argentina,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,890,,,,,,890,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,CZE,Czechia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,891,,,,,,891,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AFR,Africa,Country,COG,Congo,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,9,,,,,,9,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,MLT,Malta,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,9,,,,,,9,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,9,,,,,,9,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,9356,,,,,,9 356,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,9582,,,,,,9 582,,,EN,2023-04-20T04:00:00.000Z
